File,Version,Purpose,Dependencies,Execution_status,Tests_VT_count,Supersedes_or_superseded_by,Outputs_produced,SHA256,Size_bytes,mtime_utc
Research/2001 (1).pdf,2001 (1).pdf,,,SOURCE EXISTS,,,,03c5d970f96bda42b6c39c38e858412c65f6d9fac315ecdd0267bed95212c24a,668076,2026-07-17T15:08:51Z
Research/6D_3Form_Project.nb,6D_3Form_Project.nb,,,UNKNOWN,,,,131de04c9e6caa03c67ba700cb312d4b7ae9cc6e543eced0539d71b8670b2b61,14155,2026-08-03T04:42:09Z
Research/AntisymmetricPForms.wl,AntisymmetricPForms.wl,Exact sparse antisym p-form representation,,OBSERVED RUN,5,,,d4b73aef9cebf1f487b58bde5c93ffeb435ca3ee31106f7b5aacea7ec5faead7,4644,2026-08-03T04:39:42Z
Research/AppendixRelations6D.wl,AppendixRelations6D.wl,Appendix A syzygies exact holdouts,,OBSERVED RUN,7,,,cae2a749a6ed6405c63651259660c30eb7e232b091213bfdd9227105028337a0,4899,2026-08-03T05:33:26Z
Research/Degree8CanonicalGraphKeys.wl,Degree8CanonicalGraphKeys.wl,1753 canonical graph keys data,,OBSERVED RUN,0,,,085e6dc3233bdafde53329fd580ed01c36742b6cf3d386a6aa1d670114d56ebe,106936,2026-08-05T22:30:41Z
Research/FunctionalIndependence6D.wl,FunctionalIndependence6D.wl,Exact Jacobian rank for five generators,,OBSERVED RUN,5,,,46cbcc18315cf9c73e300eac75103ae74d3ea8894d6f19369423b81ec0b67a76,5539,2026-08-03T04:59:42Z
Research/GraphEnumeration6D.wl,GraphEnumeration6D.wl,3-regular graph enum (broken loader),,SUPERSEDED,6,SUPERSEDED by GraphEnumeration6D_FIXED.wl,,93344630e3fb39f4c52ff84089a18838856485c4fe9adf5ffa532d2b64b2d356,9861,2026-08-03T05:40:42Z
Research/GraphEnumeration6D_FIXED.wl,GraphEnumeration6D_FIXED.wl,3-regular graph enum Gate 5,,OBSERVED RUN,6,,,a9240642de84e85633db04de4d91b97e7955064c5fcc9877c2db79985a689f2b,9862,2026-08-03T14:17:52Z
Research/InvariantBenchmarks.wl,InvariantBenchmarks.wl,O(d)/SO(4) benchmarks (Dot bug),,SUPERSEDED,12,SUPERSEDED by InvariantBenchmarks_CORRECTED_V2.wl,,21838131abcd8fae511b3fc3cb207d08cd410eb4bc1746ad363391cf7d6edc75,9311,2026-08-03T14:50:49Z
Research/InvariantBenchmarks_CORRECTED_V2.wl,InvariantBenchmarks_CORRECTED_V2.wl,Corrected O(d)/SO(4) benchmarks,,OBSERVED RUN,12,,,05b3efd51f5a7df29fe7fe7d4fdbfbf2fb462c10bf866297555e2097e8f10f98,9339,2026-08-03T14:55:03Z
Research/MetricContractions6D.wl,MetricContractions6D.wl,6D metric contractions; Eqs (4.1)-(4.4),,OBSERVED RUN,8,,,8e8248abfefc8c92dae6ee78c2bd366b3ab1d709df65b2d5bf19be9855cb9d52,9506,2026-08-03T05:25:49Z
Research/New Folder With Items/Beginner_Companion_to_Machine_Learning_Invariants_of_Tensors.pdf,Beginner_Companion_to_Machine_Learning_Invariants_of_Tensors.pdf,,,SOURCE EXISTS,,,,588249c952b11c34407b0118064e3296154407f7459524c1d5f348dddbc858a1,95701,2026-07-03T19:31:17Z
Research/New Folder With Items/Molecular_Dynamics_Math_Notes.pdf,Molecular_Dynamics_Math_Notes.pdf,,,SOURCE EXISTS,,,,516473c142f945ba2e6f3cbc9c7b94560fdb8399fc47b7d041610b21591e1d70,107945,2026-07-03T15:07:19Z
Research/New Folder With Items/Untitled document-31.pdf,Untitled document-31.pdf,,,SOURCE EXISTS,,,,61593ab31368ba310ea0ae4f7844e7c898d7ba6e76abd217017c89ea216100ce,78344,2026-07-17T23:24:15Z
Research/New Folder With Items/invariants_78.pdf,invariants_78.pdf,,,SOURCE EXISTS,,,,742b51875e2108dea7730c90039720772309cc4ace4e620949450e3181722f52,68903,2026-07-23T15:14:50Z
Research/New Folder With Items/reclaiming_attention_case_study.pdf,reclaiming_attention_case_study.pdf,,,SOURCE EXISTS,,,,7851f0c84a6d9901eb14b2731cbc5bbf717b1114be19139211510a60cd363ffb,6168710,2026-07-20T20:57:01Z
Research/New Folder With Items/reclaiming_attention_feinstein_30_day_case_study.pdf,reclaiming_attention_feinstein_30_day_case_study.pdf,,,SOURCE EXISTS,,,,ec9d7db56ed44b87b01fbdefd7e2e0788a5c82d266a25209c93e3dda833397dc,1002442,2026-07-20T22:30:52Z
Research/New Folder With Items/regents_to_tensor_invariants_guide.pdf,regents_to_tensor_invariants_guide.pdf,,,SOURCE EXISTS,,,,7725ae93466be7eba6ee1e61197176c665d7efe856da74ff176335ee140c4e19,291007,2026-07-03T21:46:00Z
Research/New Folder With Items/tensor_paper_page_paragraph_companion_v2.pdf,tensor_paper_page_paragraph_companion_v2.pdf,,,SOURCE EXISTS,,,,d34a8088bbe78839187f600ff3905fe3038b92816fd4524572973ced484a9280,1286592,2026-07-03T23:58:43Z
Research/New Folder With Items/tensor_paper_paragraph_by_paragraph_companion.pdf,tensor_paper_paragraph_by_paragraph_companion.pdf,,,SOURCE EXISTS,,,,a5f99cfe40d17cde54a1fe24f84d2381b39b2d843c340a15f68485433f6dd089,556143,2026-07-03T23:53:04Z
Research/New Folder With Items/what_i_built.pdf,what_i_built.pdf,,,SOURCE EXISTS,,,,49fa826318b4e4316761fbdd0b2bd2f7ea3fa58c52737a68fdaab8137c2fdd8d,58117,2026-07-21T21:47:43Z
Research/RESEARCH_LOG.md,RESEARCH_LOG.md,,,SOURCE EXISTS,,IDENTICAL to RESEARCH_LOGv4.md,,b385693d43cd6f8d9d07a2f8df4ca8e307f14c6a38860420ca84280648ecacee,11048,2026-08-03T14:34:42Z
Research/RESEARCH_LOG_2.md,RESEARCH_LOG_2.md,,,SOURCE EXISTS,,IDENTICAL to RESEARCH_LOGv4.md,,b385693d43cd6f8d9d07a2f8df4ca8e307f14c6a38860420ca84280648ecacee,11048,2026-08-03T15:58:26Z
Research/RESEARCH_LOGv3.md,RESEARCH_LOGv3.md,,,SOURCE EXISTS,,IDENTICAL to RESEARCH_LOGv4.md,,b385693d43cd6f8d9d07a2f8df4ca8e307f14c6a38860420ca84280648ecacee,11048,2026-08-03T16:34:07Z
Research/RESEARCH_LOGv4.md,RESEARCH_LOGv4.md,,,SOURCE EXISTS,,,,b385693d43cd6f8d9d07a2f8df4ca8e307f14c6a38860420ca84280648ecacee,11048,2026-08-03T17:29:53Z
Research/TenDChiralFiveForm_Representation_Literature_Gate.md,TenDChiralFiveForm_Representation_Literature_Gate.md,,,SOURCE EXISTS,,,,5f5b4592baf86cae66bf2d11a5b2aec7c2a1cad7155edab18a4541f9b9bb4d64,15597,2026-08-03T15:58:20Z
Research/TenDDegree10Foundations_V1.wl,TenDDegree10Foundations_V1.wl,Degree-10 product subspace foundations,,OBSERVED RUN,16,,,85f07701a770933c4995f02971df50cbe3db6b4225c94daebfbd388fb518b716,8100,2026-08-06T05:00:32Z
Research/TenDDegree4Invariants_V1.wl,TenDDegree4Invariants_V1.wl,,,SUPERSEDED,13,SUPERSEDED by V4,,186315f4bdc0049979251bbe4fc5e7a742a8ed9c60b21d7b59ec9a0e37800983,12943,2026-08-03T16:08:46Z
Research/TenDDegree4Invariants_V2.wl,TenDDegree4Invariants_V2.wl,,,SUPERSEDED,13,SUPERSEDED by V4,,ea2418526f2134a265a134acb99b643eb60d52bd1c7e448008f70c28d26188bf,12950,2026-08-03T16:13:58Z
