"CanonicalGraphNumber","Connected","PeakRank","PeakWorkExponent","CoefficientI6Trace","CoefficientI6N1050","VanishesOnExactFit","HoldoutResidual","GraphKey"
1,false,5,5,"0","0",true,"0","{0, 0, 0, 0, 5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0}"
2,false,5,6,"0","0",true,"0","{0, 0, 0, 0, 5, 0, 1, 4, 0, 4, 1, 0, 0, 0, 0}"
3,false,5,7,"0","0",true,"0","{0, 0, 0, 0, 5, 0, 2, 3, 0, 3, 2, 0, 0, 0, 0}"
4,false,5,7,"0","0",true,"0","{0, 0, 0, 0, 5, 1, 1, 3, 0, 3, 1, 0, 1, 0, 0}"
5,false,6,8,"0","0",true,"0","{0, 0, 0, 0, 5, 1, 2, 2, 0, 2, 2, 0, 1, 0, 0}"
6,true,5,6,"1/4","0",false,"0","{0, 0, 0, 1, 4, 0, 1, 3, 1, 4, 1, 0, 0, 0, 0}"
7,true,5,6,"1","0",false,"0","{0, 0, 0, 1, 4, 0, 1, 4, 0, 4, 0, 1, 0, 0, 0}"
8,true,5,7,"-1/8","0",false,"0","{0, 0, 0, 1, 4, 0, 2, 2, 1, 3, 2, 0, 0, 0, 0}"
9,true,5,7,"3/16","0",false,"0","{0, 0, 0, 1, 4, 0, 2, 3, 0, 3, 1, 1, 0, 0, 0}"
10,true,5,7,"-1/16","0",false,"0","{0, 0, 0, 1, 4, 1, 1, 2, 1, 3, 1, 0, 1, 0, 0}"
11,true,5,7,"-3/32","0",false,"0","{0, 0, 0, 1, 4, 1, 1, 3, 0, 3, 0, 1, 1, 0, 0}"
12,true,5,6,"0","0",true,"0","{0, 0, 0, 1, 4, 1, 1, 3, 0, 4, 0, 0, 0, 0, 1}"
13,true,6,8,"1/144","0",false,"0","{0, 0, 0, 1, 4, 1, 2, 1, 1, 2, 2, 0, 1, 0, 0}"
14,true,6,8,"1/36","0",false,"0","{0, 0, 0, 1, 4, 1, 2, 2, 0, 2, 2, 0, 0, 1, 0}"
15,true,5,7,"0","0",true,"0","{0, 0, 0, 1, 4, 1, 2, 2, 0, 3, 1, 0, 0, 0, 1}"
16,true,6,8,"0","0",true,"0","{0, 0, 0, 1, 4, 2, 2, 1, 0, 2, 1, 0, 1, 0, 1}"
17,true,5,7,"-1/16","0",false,"0","{0, 0, 0, 2, 3, 0, 2, 1, 2, 3, 2, 0, 0, 0, 0}"
18,true,5,7,"-1/64","0",false,"0","{0, 0, 0, 2, 3, 0, 2, 2, 1, 3, 1, 1, 0, 0, 0}"
19,true,5,7,"3/32","0",false,"0","{0, 0, 0, 2, 3, 0, 2, 3, 0, 3, 0, 2, 0, 0, 0}"
20,true,5,7,"-1/32","0",false,"0","{0, 0, 0, 2, 3, 1, 1, 1, 2, 3, 1, 0, 1, 0, 0}"
21,true,5,7,"1/128","0",false,"0","{0, 0, 0, 2, 3, 1, 1, 2, 1, 3, 0, 1, 1, 0, 0}"
22,true,5,7,"3/64","0",false,"0","{0, 0, 0, 2, 3, 1, 1, 3, 0, 3, 0, 1, 0, 1, 0}"
23,true,6,8,"-1/288","0",false,"0","{0, 0, 0, 2, 3, 1, 2, 0, 2, 2, 2, 0, 1, 0, 0}"
24,true,6,8,"1/288","0",false,"0","{0, 0, 0, 2, 3, 1, 2, 1, 1, 2, 1, 1, 1, 0, 0}"
25,true,6,8,"1/192","0",false,"0","{0, 0, 0, 2, 3, 1, 2, 1, 1, 2, 2, 0, 0, 1, 0}"
26,true,5,7,"0","0",true,"0","{0, 0, 0, 2, 3, 1, 2, 1, 1, 3, 1, 0, 0, 0, 1}"
27,true,5,7,"0","0",true,"0","{0, 0, 0, 2, 3, 1, 2, 2, 0, 3, 0, 1, 0, 0, 1}"
28,true,6,8,"0","0",true,"0","{0, 0, 0, 2, 3, 2, 2, 0, 1, 2, 1, 0, 1, 0, 1}"
29,true,5,7,"0","0",true,"0","{0, 0, 0, 2, 3, 2, 2, 1, 0, 3, 0, 0, 0, 0, 2}"
30,true,5,7,"7/64","0",false,"0","{0, 0, 1, 1, 3, 0, 1, 3, 1, 3, 1, 1, 0, 0, 0}"
31,true,6,8,"0","0",true,"0","{0, 0, 1, 1, 3, 0, 2, 2, 1, 2, 2, 1, 0, 0, 0}"
